turn-2 episodes with class: 698 (paltering 301, honest 397), 63 scenarios
layer |           instructed, centred            |  behaviour probe (grouped CV)  | cos
      | AUROC pal/hon  rho GIST  mean C0 mean C1+3 |  AUROC all  AUROC C0 AUROC press |
    8 |         0.566     0.096    -0.06      0.07 |      0.705     0.642       0.712 | +0.026
   16 |         0.536     0.047     1.19     -0.57 |      0.658     0.623       0.619 | +0.064
   24 |         0.608     0.184     1.06     -0.54 |      0.714     0.701       0.697 | +0.067
   32 |         0.583     0.146     2.00     -1.02 |      0.716     0.697       0.667 | +0.080
   40 |         0.453    -0.065     4.93     -2.50 |      0.713     0.675       0.662 | +0.077
   48 |         0.431    -0.102     5.72     -2.91 |      0.692     0.673       0.671 | +0.063
   56 |         0.399    -0.154     6.99     -3.55 |      0.710     0.665       0.684 | +0.069
   61 |         0.389    -0.169     8.62     -4.38 |      0.720     0.678       0.687 | +0.081
